SN;RA;DECL;Cluster;RAJ2000;DEJ2000;zCMB;z;DELTA_Z
9467;328.951385;1.180792;J2155.9+0109;21 55 59.2;+01 09 02;0.21885;0.2190;0.00014999678134919314
2001ic;347.68042;7.56951;J2310.4+0734;23 10 26.4;+07 34 37;0.04296;0.0424;0.000560001245737074
2003ic;10.45973;-9.30531;J0041.8-0918;00 41 50.1;-09 18 07;0.05491;0.0555;0.0005900007152557368
2005hf;21.77496;19.116899;J0126.9+1912;01 26 54.5;+19 12 42;0.04205;0.0427;0.0006500001072883635
2006al;159.867661;5.18344;J1039.4+0510;10 39 27.9;+05 10 46;0.06905;0.0700;0.0009500002980232236
2006je;27.72193;33.098129;J0150.7+3305;01 50 44.9;+33 05 24;0.03712;0.0363;0.000820000196695328
2008bf;181.011993;20.245081;J1204.1+2020;12 04 11.6;+20 20 53;0.02453;0.0252;0.0006700000327825549
1994M;187.782288;0.60278;J1231.0+0037;12 31 05.6;+00 37 44;0.02431;0.0232;0.00111000029504299
1998dx;272.794495;49.85841;J1811.0+4954;18 11 00.1;+49 54 40;0.05389;0.0501;0.0037900012874603276
1999ej;20.73694;33.46196;J0123.2+3327;01 23 12.2;+33 27 40;0.01544;0.0146;0.000839999655783177
2000dk;16.844589;32.411072;J0107.4+3227;01 07 28.3;+32 27 43;0.01602;0.0170;0.0009800009238719945
040201;184.459579;47.446762;J1217.7+4729;12 17 43.7;+47 29 14;0.2797;0.2700;0.009699989271163945
050580;212.990707;52.071846;J1411.4+5212;14 11 24.4;+52 12 38;0.4504;0.4599;0.00949999175071714
160126;163.283539;57.20126;J1053.3+5720;10 53 18.4;+57 20 47;0.36;0.3400;0.0199999964237213
