SN;RA;DECL;Cluster;RAJ2000;DEJ2000;zCMB;z;DELTA_Z
03D1ax;36.097286;-4.720774;J0224.4-0450;36.113750;-4.841139;0.4952;0.49;0.0051999904632568095
04D2al;150.468643;2.164106;J1002.0+0213;150.507083;2.225778;0.83716;0.83;0.007160016689300552
04D2fs;150.092026;1.765398;J1000.7+0146;150.180000;1.768806;0.35816;0.35;0.008160005960464456
05D1ix;36.083195;-4.670004;J0223.9-0435;35.990000;-4.588583;0.4892;0.49;0.0008000095367431403
05D2hc;150.019135;1.886025;J1000.7+0146;150.180000;1.768806;0.35116;0.35;0.0011600059604645052
05D2ie;150.262054;2.658085;J1000.4+0241;150.121667;2.693722;0.34916;0.35;0.0008399940395354966
06D2fb;149.883942;1.827922;J0959.4+0146;149.852917;1.771194;0.12516;0.12;0.005160002682209008
04D1hd;36.536808;-4.109634;J0226.5-0404;36.644583;-4.068889;0.3682;0.35;0.018200005960464505
04D2gp;149.834885;2.508879;J0959.6+0231;149.920000;2.519806;0.73316;0.72;0.013159971389770542
04D2mc;150.148132;1.784181;J1000.7+0146;150.180000;1.768806;0.34916;0.35;0.0008399940395354966
000196;150.115067;2.694033;J1000.4+0241;150.121667;2.693722;0.3503;0.35;0.0003000059604644778
040201;184.459579;47.446762;J1217.9+4728;184.477083;47.481611;0.2797;0.27;0.009699989271163945
160126;163.283539;57.20126;J1053.3+5720;163.327083;57.345472;0.36;0.34;0.0199999964237213
160198;242.9048;53.970268;J1610.6+5406;242.667500;54.103667;0.349;0.34;0.00899999642372129
310188;35.277637;-4.519644;J0222.0-0432;35.517917;-4.544333;0.3192;0.32;0.0007999928474426432
330023;35.798058;-2.780092;J0223.7-0251;35.948333;-2.858194;0.1808;0.17;0.010799998211860645
370344;150.173752;1.831642;J1000.7+0146;150.180000;1.768806;0.3312;0.35;0.018799994039535528
440236;37.101852;-4.424606;J0228.4-0425;37.113750;-4.428389;0.4292;0.43;0.0008000071525573471
